Name,Coef.,Std. Error,z,Pr(>|z|),Lower 95%,Upper 95%
(Intercept),0.01446,2.506e-5,577.2,0.0,0.01441,0.01451
abs_lat,-3.515e-5,8.933e-7,-39.35,0.0,-3.69e-5,-3.34e-5
