Name,Coef.,Std. Error,z,Pr(>|z|),Lower 95%,Upper 95%
(Intercept),-64.77,10.19,-6.355,2.088e-10,-84.75,-44.8
abs_lat,16.53,0.1694,97.55,0.0,16.19,16.86
drainage_density,-9867.0,624.9,-15.79,3.663e-56,-11090.0,-8642.0
