Name,Coef.,Std. Error,z,Pr(>|z|),Lower 95%,Upper 95%
(Intercept),70.674,1.684,41.958,0.0,67.372,73.975
drainage_density,0.0,NaN,NaN,NaN,NaN,NaN
avg_slope_table_MEAN,84.093,0.72,116.836,0.0,82.682,85.504
relief_by_unit_relief,-0.002,0.0,-13.51,0.0,-0.002,-0.002
drainage_density & avg_slope_table_MEAN,-2274.178,44.269,-51.372,0.0,-2360.943,-2187.413
drainage_density & relief_by_unit_relief,0.254,0.005,52.539,0.0,0.244,0.263
avg_slope_table_MEAN & relief_by_unit_relief,-0.004,0.0,-51.559,0.0,-0.004,-0.004
