group_name,unit,crater_count,lat_band,min_lat,max_lat,model_age,model_age_sigma,model_erosion,model_erosion_sigma,model_erosion_025CI,model_erosion_975CI
lNh7,lNh,2038,7,17.0,34.0,3.8452424816730337,0.01381188545268418,59.69432748694645,14.468254543275929,32.127264032098296,87.70036781600007
Hp1,Hp,3069,1,-85.0,-68.0,3.6351388405136507,0.011965784168904993,6.040084731692175,7.903022862741034,0.0002955233268692448,26.501055035161798
eHt6,eHt,3756,6,0.0,17.0,3.7689061709148657,0.007652176384080345,4.3988141135898395,6.0914669142952205,0.00011751576855762428,21.17951041296106
AHi6,AHi,3256,6,0.0,17.0,3.881219755629026,0.009632442842712892,135.20316085933294,12.85283390891862,111.75296590598042,161.5312593047168
AHv4,AHv,2252,4,-34.0,-17.0,3.583389691226364,0.007303000874313341,0.9591621225524734,2.1337965937779795,5.506333012904502e-5,7.654347982977021
lNh2,lNh,3178,2,-68.0,-51.0,3.8437023607605045,0.012672450822205092,202.37440963774623,20.965312578625856,167.13877530292936,247.10565321155568
HNt6,HNt,2721,6,0.0,17.0,3.8200360917608203,0.013950964393723456,97.36393333133478,16.56358439061599,66.08172090346677,131.82890167140022
eNhm3,eNhm,1693,3,-51.0,-34.0,4.2416887338307845,0.13598045366295392,5468.950492132455,5755.922100833463,893.600839033141,25149.845333155885
eNh5,eNh,11784,5,-17.0,0.0,3.839153526736938,0.00634119462714505,27.380983249334292,6.03497861747175,15.236624847660883,38.676407844261156
lNv2,lNv,2243,2,-68.0,-51.0,3.8306234965287707,0.022163823528620445,348.305125260856,53.24392573547145,266.44377226682855,465.41713617121326
AHv9,AHv,1017,9,51.0,68.0,3.602904074256727,0.030708262131121673,100.70473595898031,25.05648858476511,57.4848483608188,153.25190141058127
mAl8,mAl,1746,8,34.0,51.0,3.6066061584790874,0.0074742203266517405,0.6635684803781869,1.403899362414954,5.235743378895468e-5,4.81403127747133
Htu5,Htu,1489,5,-17.0,0.0,3.7109485993781135,0.0067829717589944485,0.9134981055175586,1.9339161263801083,5.947312925931655e-5,6.982751684076618
mNhm5,mNhm,1109,5,-17.0,0.0,3.8241874607777095,0.01699353000997578,11.27472829797092,15.558995953935366,0.0002631266291155632,52.051013061269444
eNh4,eNh,18715,4,-34.0,-17.0,3.847563526552432,0.004898440548183405,35.03471303503517,4.80990786273633,25.992102161946963,44.4472463127889
AHi3,AHi,2665,3,-51.0,-34.0,3.7896160424005787,0.013386689113460318,104.33721923125583,15.577373187847785,77.19517440599186,137.73292148285697
eHv4,eHv,4872,4,-34.0,-17.0,3.7371797271451612,0.0037870049421413706,0.7856596992535738,1.7092237325106283,3.857007984225632e-5,6.179116516303475
AHv6,AHv,3175,6,0.0,17.0,3.4830412675861013,0.008190219161561702,0.44243946086015495,0.9371838072230566,3.77668739317627e-5,3.1960980064415527
mNh1,mNh,2526,1,-85.0,-68.0,3.8141511439942373,0.01904231006200702,236.5028117894378,34.51899331284813,177.33115049862369,314.84232671123414
Hp2,Hp,1172,2,-68.0,-51.0,3.734968944709476,0.008036064566541561,1.6627798163663186,3.904357350491689,7.261887565034236e-5,14.01006365314586
eNh6,eNh,4994,6,0.0,17.0,3.930507530058695,0.00919484260890852,130.28272051011524,12.705641971246186,105.54513877278201,153.47425070263097
mNh2,mNh,11606,2,-68.0,-51.0,3.8979771478279774,0.008681072051250415,295.0518999384734,19.04881744817118,261.9000881717304,333.4949672871996
eNh2,eNh,6096,2,-68.0,-51.0,4.278639947832047,0.119081585303513,6200.294812865368,5267.496909124606,1491.3168944471647,21499.804396071027
mNh3,mNh,17845,3,-51.0,-34.0,3.8081194091089734,0.004986335410197729,64.45120298686129,5.274074838272618,53.91648049769747,74.6067265214872
mNh8,mNh,7102,8,34.0,51.0,3.8180101511896147,0.008684559790281184,65.22439355802639,9.169956748783173,47.12842205706167,82.96821178445812
